# Created on 10/08/2018 11:37:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Indicator Comment:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Country , Year , Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#All,All,Blank cells indicate that data is either unavailable and/or has not yet been #reported to WHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Switzerland,2004,Estimates from Sentinel surveillance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,
#
#
# 
 , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
171,Russian Federation,,,,,,,,,,,24960,30876,24004,39439,48614,20626,13842,27202,28060,22222,29983,12073,5455,12523,11085,4644,8208,8116,3557,4056,4795,4733,7220,4510,,,,,
179,San Marino,,,,,,,,,,,0,0,0,3,12,1,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,
228,Serbia,,,,,,,,,,,1440,1070,236,467,458,446,270,218,116,40,24,7,72,14,78,4,5,3,6,5,1,25,51,39,,,,,
186,Slovakia,,,,,,,,,,,194,54,44,353,56,10,74,55,8,108,43,3,36,47,21,17,21,21,105,288,1379,936,950,907,,,,,
187,Slovenia,,,,,,,,,,,70,53,29,65,97,35,65,81,25,23,34,77,29,180,113,75,551,706,181,442,610,284,178,169,,,,,
191,Spain,,,,,,,,,,,10075,8365,11518,6229,5021,3741,3577,1134,315,417,921,379,347,512,518,295,378,556,563,393,739,3088,3439,2342,,,,,
197,Sweden,,,,,,,,,,,10697,11432,9782,11542,13187,10655,8473,4644,1769,2425,2704,979,1350,664,1371,1360,795,689,459,281,266,177,289,237,,,,,
198,Switzerland,,,,,,,,,,,,,5000,5000,26000,20000,11500,13000,13000,11000,7500,6000,5200,4700,,,,,,,,,7900,,,,,,
201,Tajikistan,,,,,,,,,,,935,581,1115,1094,662,192,86,284,66,80,13,24,53,23,74,22,22,46,7,6,12,56,5,2,,,,,
203,The former Yugoslav Republic of Macedonia,,,,,,,,,,,68,84,46,38,53,27,20,32,13,10,21,5,4,16,1,7,7,0,0,7,2,6,9,1,,,,,
209,Turkey,,,,,,,,,,,454,289,712,692,442,347,672,694,429,222,528,182,193,255,389,272,57,63,25,11,48,242,18,33,,,,,
210,Turkmenistan,,,,,,,,,,,260,189,209,173,108,31,82,49,13,7,11,8,49,0,3,0,,0,0,0,0,0,0,0,,,,,
214,Ukraine,,,,,,,,,,,4189,3861,3363,6939,3374,1205,1220,2266,1763,1179,2243,2210,411,778,2241,1518,2459,,1025,,1067,2937,2286,,,,,,
216,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,16862,6279,2750,4718,4837,2399,2721,3669,1902,1461,866,1059,1054,521,169,358,478,1163,1028,846,518,1243,11980,6090,,,,,
221,Uzbekistan,,,,,,,,,,,713,902,1502,525,357,266,197,197,32,54,77,57,78,40,35,126,115,106,31,35,33,36,62,42,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 
 
